league,event_id,polymarket_event_id,event_date,home_team,away_team,updated_at,1x2_home,1x2_draw,1x2_away,btts_yes,btts_no,over_15,under_15,over_25,under_25,over_35,under_35,over_45,under_45,exact_scores_json
liga_mx_apertura_2026,211571,734388,2026-09-19 03:00:00,FC Juárez,Tigres UANL,2026-08-01 05:00:22,0.0005,0.0045,0.998,0.615,0.385,0.5,0.5,0.5,0.5,0.9995,0.0005,0.9995,0.0005,"{""Any Other Score"": 0.9995, ""FC Juárez 0 - 0 Pumas de la UNAM"": 0.0005, ""FC Juárez 0 - 1 Pumas de la UNAM"": 0.0005, ""FC Juárez 0 - 2 Pumas de la UNAM"": 0.0005, ""FC Juárez 0 - 3 Pumas de la UNAM"": 0.0005, ""FC Juárez 1 - 0 Pumas de la UNAM"": 0.0005, ""FC Juárez 1 - 1 Pumas de la UNAM"": 0.0005, ""FC Juárez 1 - 2 Pumas de la UNAM"": 0.0005, ""FC Juárez 1 - 3 Pumas de la UNAM"": 0.0005, ""FC Juárez 2 - 0 Pumas de la UNAM"": 0.0005, ""FC Juárez 2 - 1 Pumas de la UNAM"": 0.0005, ""FC Juárez 2 - 2 Pumas de la UNAM"": 0.0005, ""FC Juárez 2 - 3 Pumas de la UNAM"": 0.0005, ""FC Juárez 3 - 0 Pumas de la UNAM"": 0.0005, ""FC Juárez 3 - 1 Pumas de la UNAM"": 0.0005, ""FC Juárez 3 - 2 Pumas de la UNAM"": 0.0005, ""FC Juárez 3 - 3 Pumas de la UNAM"": 0.0005}"
liga_mx_apertura_2026,211563,734396,2026-09-12 03:00:00,Club Tijuana,Querétaro FC,2026-08-01 05:00:21,,,,,,,,,,,,,,
liga_mx_apertura_2026,211555,676024,2026-09-05 23:00:00,Querétaro FC,CF Monterrey,2026-07-19 07:00:26,0.0005,0.0005,0.9995,0.0045,0.9955,0.0045,0.9955,0.0005,0.9995,0.0005,0.9995,0.0005,0.9995,"{""Any Other Score"": 0.0005, ""Querétaro FC 0 - 0 CF América"": 0.0005, ""Querétaro FC 0 - 1 CF América"": 0.9995, ""Querétaro FC 0 - 2 CF América"": 0.0005, ""Querétaro FC 0 - 3 CF América"": 0.0005, ""Querétaro FC 1 - 0 CF América"": 0.0005, ""Querétaro FC 1 - 1 CF América"": 0.0005, ""Querétaro FC 1 - 2 CF América"": 0.0005, ""Querétaro FC 1 - 3 CF América"": 0.0005, ""Querétaro FC 2 - 0 CF América"": 0.0005, ""Querétaro FC 2 - 1 CF América"": 0.0005, ""Querétaro FC 2 - 2 CF América"": 0.0005, ""Querétaro FC 2 - 3 CF América"": 0.0005, ""Querétaro FC 3 - 0 CF América"": 0.0005, ""Querétaro FC 3 - 1 CF América"": 0.0005, ""Querétaro FC 3 - 2 CF América"": 0.0005, ""Querétaro FC 3 - 3 CF América"": 0.0005}"
liga_mx_apertura_2026,211552,676029,2026-09-05 01:00:00,Club Puebla,CD Toluca,2026-07-19 05:00:34,0.0005,0.0005,0.9995,0.0045,0.9955,0.0045,0.9955,0.0045,0.9955,0.0005,0.9995,0.0005,0.9995,"{""Any Other Score"": 0.0045, ""CD Guadalajara 0 - 0 Deportivo Toluca FC"": 0.0005, ""CD Guadalajara 0 - 1 Deportivo Toluca FC"": 0.0005, ""CD Guadalajara 0 - 2 Deportivo Toluca FC"": 0.9995, ""CD Guadalajara 0 - 3 Deportivo Toluca FC"": 0.0005, ""CD Guadalajara 1 - 0 Deportivo Toluca FC"": 0.0005, ""CD Guadalajara 1 - 1 Deportivo Toluca FC"": 0.0005, ""CD Guadalajara 1 - 2 Deportivo Toluca FC"": 0.0005, ""CD Guadalajara 1 - 3 Deportivo Toluca FC"": 0.0005, ""CD Guadalajara 2 - 0 Deportivo Toluca FC"": 0.0005, ""CD Guadalajara 2 - 1 Deportivo Toluca FC"": 0.0005, ""CD Guadalajara 2 - 2 Deportivo Toluca FC"": 0.0005, ""CD Guadalajara 2 - 3 Deportivo Toluca FC"": 0.0005, ""CD Guadalajara 3 - 0 Deportivo Toluca FC"": 0.0005, ""CD Guadalajara 3 - 1 Deportivo Toluca FC"": 0.0005, ""CD Guadalajara 3 - 2 Deportivo Toluca FC"": 0.0005, ""CD Guadalajara 3 - 3 Deportivo Toluca FC"": 0.0005}"
liga_mx_apertura_2026,211550,734408,2026-08-31 00:00:00,CD Toluca,FC Juárez,2026-08-01 05:00:21,,,,,,,,,,,,,,
liga_mx_apertura_2026,211545,663088,2026-08-29 03:00:00,Club Tijuana,Pumas UNAM,2026-07-17 07:30:26,,,,,,,,,,,,,,
liga_mx_apertura_2026,211541,676034,2026-08-23 23:00:00,Atlético San Luis,CF Pachuca,2026-07-18 05:00:26,0.0005,0.0005,0.9995,0.9955,0.0045,0.9955,0.0045,0.9955,0.0045,0.9995,0.0005,0.9995,0.0005,"{""Any Other Score"": 0.0045, ""Atlético San Luis 0 - 0 CF Cruz Azul"": 0.0005, ""Atlético San Luis 0 - 1 CF Cruz Azul"": 0.0005, ""Atlético San Luis 0 - 2 CF Cruz Azul"": 0.0005, ""Atlético San Luis 0 - 3 CF Cruz Azul"": 0.0005, ""Atlético San Luis 1 - 0 CF Cruz Azul"": 0.0005, ""Atlético San Luis 1 - 1 CF Cruz Azul"": 0.0005, ""Atlético San Luis 1 - 2 CF Cruz Azul"": 0.0005, ""Atlético San Luis 1 - 3 CF Cruz Azul"": 0.0005, ""Atlético San Luis 2 - 0 CF Cruz Azul"": 0.0005, ""Atlético San Luis 2 - 1 CF Cruz Azul"": 0.0005, ""Atlético San Luis 2 - 2 CF Cruz Azul"": 0.0005, ""Atlético San Luis 2 - 3 CF Cruz Azul"": 0.9995, ""Atlético San Luis 3 - 0 CF Cruz Azul"": 0.0005, ""Atlético San Luis 3 - 1 CF Cruz Azul"": 0.0005, ""Atlético San Luis 3 - 2 CF Cruz Azul"": 0.0005, ""Atlético San Luis 3 - 3 CF Cruz Azul"": 0.0005}"
liga_mx_apertura_2026,211524,734376,2026-08-03 01:05:00,CD Toluca,Club Necaxa,2026-08-01 05:00:22,0.635,0.215,0.165,0.34,0.66,0.13,0.87,0.275,0.725,0.42,0.58,0.235,0.765,"{""Any Other Score"": 0.3, ""Deportivo Toluca FC 0 - 0 Club Necaxa"": 0.041, ""Deportivo Toluca FC 0 - 1 Club Necaxa"": 0.0365, ""Deportivo Toluca FC 0 - 2 Club Necaxa"": 0.0225, ""Deportivo Toluca FC 0 - 3 Club Necaxa"": 0.0105, ""Deportivo Toluca FC 1 - 0 Club Necaxa"": 0.08, ""Deportivo Toluca FC 1 - 1 Club Necaxa"": 0.095, ""Deportivo Toluca FC 1 - 2 Club Necaxa"": 0.0445, ""Deportivo Toluca FC 1 - 3 Club Necaxa"": 0.0205, ""Deportivo Toluca FC 2 - 0 Club Necaxa"": 0.09, ""Deportivo Toluca FC 2 - 1 Club Necaxa"": 0.095, ""Deportivo Toluca FC 2 - 2 Club Necaxa"": 0.065, ""Deportivo Toluca FC 2 - 3 Club Necaxa"": 0.0215, ""Deportivo Toluca FC 3 - 0 Club Necaxa"": 0.07, ""Deportivo Toluca FC 3 - 1 Club Necaxa"": 0.075, ""Deportivo Toluca FC 3 - 2 Club Necaxa"": 0.038, ""Deportivo Toluca FC 3 - 3 Club Necaxa"": 0.015}"
liga_mx_apertura_2026,211523,734372,2026-08-02 23:00:00,Club América,Santos Laguna,2026-08-01 05:00:22,0.675,0.195,0.135,0.28,0.72,0.095,0.905,0.24,0.76,0.375,0.625,0.195,0.805,"{""Any Other Score"": 0.335, ""CF América 0 - 0 Club Santos Laguna"": 0.0395, ""CF América 0 - 1 Club Santos Laguna"": 0.035, ""CF América 0 - 2 Club Santos Laguna"": 0.021, ""CF América 0 - 3 Club Santos Laguna"": 0.0115, ""CF América 1 - 0 Club Santos Laguna"": 0.09, ""CF América 1 - 1 Club Santos Laguna"": 0.075, ""CF América 1 - 2 Club Santos Laguna"": 0.036, ""CF América 1 - 3 Club Santos Laguna"": 0.0125, ""CF América 2 - 0 Club Santos Laguna"": 0.11, ""CF América 2 - 1 Club Santos Laguna"": 0.105, ""CF América 2 - 2 Club Santos Laguna"": 0.0425, ""CF América 2 - 3 Club Santos Laguna"": 0.0165, ""CF América 3 - 0 Club Santos Laguna"": 0.08, ""CF América 3 - 1 Club Santos Laguna"": 0.07, ""CF América 3 - 2 Club Santos Laguna"": 0.034, ""CF América 3 - 3 Club Santos Laguna"": 0.013}"
liga_mx_apertura_2026,211522,734375,2026-08-02 03:00:00,Cruz Azul,Atlante FC,2026-08-01 05:00:22,0.735,0.165,0.105,0.26,0.74,0.07,0.93,0.26,0.74,0.405,0.595,0.215,0.785,"{""Any Other Score"": 0.2, ""CF Cruz Azul 0 - 0 Atlante FC"": 0.04, ""CF Cruz Azul 0 - 1 Atlante FC"": 0.0275, ""CF Cruz Azul 0 - 2 Atlante FC"": 0.0125, ""CF Cruz Azul 0 - 3 Atlante FC"": 0.004, ""CF Cruz Azul 1 - 0 Atlante FC"": 0.1, ""CF Cruz Azul 1 - 1 Atlante FC"": 0.08, ""CF Cruz Azul 1 - 2 Atlante FC"": 0.028, ""CF Cruz Azul 1 - 3 Atlante FC"": 0.012, ""CF Cruz Azul 2 - 0 Atlante FC"": 0.11, ""CF Cruz Azul 2 - 1 Atlante FC"": 0.1, ""CF Cruz Azul 2 - 2 Atlante FC"": 0.0435, ""CF Cruz Azul 2 - 3 Atlante FC"": 0.013, ""CF Cruz Azul 3 - 0 Atlante FC"": 0.09, ""CF Cruz Azul 3 - 1 Atlante FC"": 0.075, ""CF Cruz Azul 3 - 2 Atlante FC"": 0.03, ""CF Cruz Azul 3 - 3 Atlante FC"": 0.013}"
liga_mx_apertura_2026,211521,734373,2026-08-02 01:06:00,Club León,CF Pachuca,2026-08-01 05:00:22,0.315,0.275,0.405,0.3,0.7,0.21,0.79,0.215,0.785,0.315,0.685,0.155,0.845,"{""Any Other Score"": 0.12, ""Club León FC 0 - 0 CF Pachuca"": 0.0615, ""Club León FC 0 - 1 CF Pachuca"": 0.09, ""Club León FC 0 - 2 CF Pachuca"": 0.06, ""Club León FC 0 - 3 CF Pachuca"": 0.029, ""Club León FC 1 - 0 CF Pachuca"": 0.075, ""Club León FC 1 - 1 CF Pachuca"": 0.13, ""Club León FC 1 - 2 CF Pachuca"": 0.09, ""Club León FC 1 - 3 CF Pachuca"": 0.043, ""Club León FC 2 - 0 CF Pachuca"": 0.0485, ""Club León FC 2 - 1 CF Pachuca"": 0.08, ""Club León FC 2 - 2 CF Pachuca"": 0.06, ""Club León FC 2 - 3 CF Pachuca"": 0.0295, ""Club León FC 3 - 0 CF Pachuca"": 0.0175, ""Club León FC 3 - 1 CF Pachuca"": 0.0315, ""Club León FC 3 - 2 CF Pachuca"": 0.0245, ""Club León FC 3 - 3 CF Pachuca"": 0.013}"
liga_mx_apertura_2026,211520,734374,2026-08-02 01:05:00,Atlas FC,CF Monterrey,2026-08-01 05:00:22,0.355,0.275,0.365,0.29,0.71,0.175,0.825,0.18,0.82,0.285,0.715,0.13,0.87,"{""Any Other Score"": 0.115, ""Atlas FC 0 - 0 CF Monterrey"": 0.07, ""Atlas FC 0 - 1 CF Monterrey"": 0.09, ""Atlas FC 0 - 2 CF Monterrey"": 0.0595, ""Atlas FC 0 - 3 CF Monterrey"": 0.0255, ""Atlas FC 1 - 0 CF Monterrey"": 0.09, ""Atlas FC 1 - 1 CF Monterrey"": 0.135, ""Atlas FC 1 - 2 CF Monterrey"": 0.08, ""Atlas FC 1 - 3 CF Monterrey"": 0.0355, ""Atlas FC 2 - 0 CF Monterrey"": 0.058, ""Atlas FC 2 - 1 CF Monterrey"": 0.08, ""Atlas FC 2 - 2 CF Monterrey"": 0.06, ""Atlas FC 2 - 3 CF Monterrey"": 0.0235, ""Atlas FC 3 - 0 CF Monterrey"": 0.024, ""Atlas FC 3 - 1 CF Monterrey"": 0.034, ""Atlas FC 3 - 2 CF Monterrey"": 0.0245, ""Atlas FC 3 - 3 CF Monterrey"": 0.012}"
liga_mx_apertura_2026,211519,734377,2026-08-01 23:00:00,Querétaro FC,Tigres UANL,2026-08-01 05:00:22,0.255,0.255,0.485,0.265,0.735,0.24,0.76,0.19,0.81,0.295,0.705,0.14,0.86,"{""Any Other Score"": 0.115, ""Querétaro FC 0 - 0 Tigres de la UANL"": 0.065, ""Querétaro FC 0 - 1 Tigres de la UANL"": 0.105, ""Querétaro FC 0 - 2 Tigres de la UANL"": 0.08, ""Querétaro FC 0 - 3 Tigres de la UANL"": 0.045, ""Querétaro FC 1 - 0 Tigres de la UANL"": 0.07, ""Querétaro FC 1 - 1 Tigres de la UANL"": 0.125, ""Querétaro FC 1 - 2 Tigres de la UANL"": 0.1, ""Querétaro FC 1 - 3 Tigres de la UANL"": 0.05, ""Querétaro FC 2 - 0 Tigres de la UANL"": 0.039, ""Querétaro FC 2 - 1 Tigres de la UANL"": 0.065, ""Querétaro FC 2 - 2 Tigres de la UANL"": 0.0565, ""Querétaro FC 2 - 3 Tigres de la UANL"": 0.0275, ""Querétaro FC 3 - 0 Tigres de la UANL"": 0.0155, ""Querétaro FC 3 - 1 Tigres de la UANL"": 0.024, ""Querétaro FC 3 - 2 Tigres de la UANL"": 0.0225, ""Querétaro FC 3 - 3 Tigres de la UANL"": 0.015}"
